theme,theme_cn,count,avg_wc2022_return,max_wc2022_return,avg_preheat2022_return,avg_score_now
travel_hotel,????/????,7,0.13517142857142858,0.2428,0.07755714285714287,4.0
beer,????/????,7,0.0677,0.1656,0.17188571428571428,3.4285714285714284
snacks_food,????/????,7,0.04505714285714286,0.1068,0.1757,3.2857142857142856
media_ads,????/????,7,-0.026542857142857142,0.0952,0.19357142857142856,3.2857142857142856
display_tv,????/????,7,-0.06107142857142857,0.0028,0.07412857142857143,2.5714285714285716
sports_lottery,??/????,8,-0.0788875,0.0287,0.190525,2.0
