code,name,date,close,pct_change,close_to_high,vol_ratio20,vol_ratio50,macd_hist,score,reasons
600121,郑州煤电,2026-06-04,5.7,0.0018,0.912,3.312,3.563,0.3673,9.0,????????????20????????60???????????MACD????
603681,永冠新材,2026-06-04,26.6,0.0188,0.9262,3.283,5.049,0.8034,9.0,????????????20????????60???????????MACD????
600458,时代新材,2026-06-04,13.79,0.0782,0.9801,3.221,3.969,0.227,9.0,???????????????????20??????????
601137,博威合金,2026-06-04,23.3,0.0282,0.953,2.941,3.94,0.4407,9.0,????????????20????????60??????????????MACD?3???
600688,上海石化,2026-06-04,3.38,0.101,1.0,2.891,2.975,0.0812,9.0,??????????????20??????????????MACD?3???
002608,江苏国信,2026-06-04,10.5,0.0194,0.9554,2.623,4.473,0.5116,9.0,????????????20????????60???????????MACD????
601011,宝泰隆,2026-06-04,3.19,0.0357,0.9938,2.598,2.109,0.099,9.0,?????????????????????20??????MACD????
000733,振华科技,2026-06-04,59.31,0.1,1.0,2.424,4.116,2.007,9.0,??????????????20????????60??????????
002787,华源控股,2026-06-04,30.42,0.1002,1.0,2.226,2.223,-0.1544,9.0,??????????????20????????60??????????
002456,欧菲光,2026-06-04,10.05,0.0234,0.9834,1.993,2.695,0.2292,9.0,?????????????????20????????60???????????MACD????
000608,阳光股份,2026-06-04,5.02,0.0819,0.9843,1.959,2.61,0.2156,9.0,???????????????????20????????60??????????
600549,厦门钨业,2026-06-04,63.73,0.062,0.9961,1.941,1.882,2.4139,9.0,?????????????????????20??????????????MACD????
600925,苏能股份,2026-06-04,4.87,0.0125,0.9959,1.896,1.886,0.0623,9.0,???????????????????20???????????MACD????
600459,贵研铂业,2026-06-04,24.24,0.0017,0.9704,1.825,2.62,0.8385,9.0,?????????????????20????????60???????????MACD????
002072,凯瑞德,2026-06-04,8.99,0.1004,1.0,1.812,2.783,0.2514,9.0,??????????????20????????60???????????MACD????
600395,盘江股份,2026-06-04,6.15,0.0336,0.9762,1.701,1.821,0.1865,9.0,???????????????????20???????????MACD????
603328,依顿电子,2026-06-04,13.07,0.0381,0.9962,1.647,1.655,0.088,9.0,?????????????????????20??????????????MACD????
002925,盈趣科技,2026-06-04,22.6,0.0062,0.9801,1.588,1.926,0.4217,9.0,?????????????????20???????????MACD?3???
000681,视觉中国,2026-06-04,23.2,0.0127,0.9944,1.569,2.034,0.5229,9.0,???????????????????20??????????????MACD?3???
601702,华峰铝业,2026-06-04,21.4,0.0109,0.9944,1.561,2.035,0.6395,9.0,???????????????????20???????????MACD????
003043,华亚智能,2026-06-04,67.57,0.1,1.0,1.556,2.067,0.0661,9.0,??????????????20????????60??????????????MACD?3???
001229,魅视科技,2026-06-04,38.3,0.02,0.9902,1.484,1.234,0.6225,9.0,???????????????????20???????????MACD????
002897,意华股份,2026-06-04,96.15,0.0543,0.9666,1.451,1.899,4.071,9.0,??????????????20????????60???????????MACD????
605319,无锡振华,2026-06-04,27.3,0.0232,0.9945,1.41,1.044,0.2939,9.0,???????????????????20??????????????MACD?3???
600483,福能股份,2026-06-04,11.92,0.0205,0.9892,1.374,1.68,0.194,9.0,??????????????20????????60???????????MACD????
002463,沪电股份,2026-06-04,140.82,0.0849,0.9863,1.364,1.421,2.8987,9.0,????????????????20????????60??????????
002353,杰瑞股份,2026-06-04,157.34,0.1,1.0,1.326,1.166,0.8907,9.0,?????????20????????60???????????MACD?3???
002051,中工国际,2026-06-04,12.02,0.0997,1.0,1.248,1.045,0.0513,9.0,?????????20????????60???????????MACD?3???
603124,江南新材,2026-06-04,152.73,0.0297,0.9933,1.245,1.358,3.7616,9.0,??????????????20????????60???????????MACD????
002636,金安国纪,2026-06-04,54.0,0.0439,0.9932,1.201,1.136,0.6203,9.0,????????????????20????????60??????????
002138,顺络电子,2026-06-04,50.55,0.0575,0.989,1.157,1.73,1.3329,9.0,????????????????20????????60??????????
002068,黑猫股份,2026-06-04,10.64,0.0143,0.9708,1.142,1.467,0.0214,9.0,????????????20????????60???????????MACD?3???
603045,福达合金,2026-06-04,77.51,0.0707,0.9914,1.141,1.807,-0.7923,9.0,????????????????20????????60??????????
600396,华电辽能,2026-06-04,21.97,0.0295,0.9941,0.982,0.973,0.6038,9.0,??????????????20????????60???????????MACD????
601518,吉林高速,2026-06-04,3.15,0.0096,0.9968,0.883,0.975,0.0365,9.0,??????????????20????????60???????????MACD????
605186,健麾信息,2026-06-04,28.28,0.014,0.9867,0.625,1.217,0.3102,9.0,??????????????20????????60???????????MACD????
600162,香江控股,2026-06-04,3.42,0.0209,0.9268,3.584,6.196,0.3227,8.0,????????????20????????60???????????MACD???????????
600868,梅雁吉祥,2026-06-04,3.78,0.0988,1.0,3.201,3.264,0.0686,8.0,??????????????20??????????????MACD????
002981,朝阳科技,2026-06-04,28.95,0.0999,1.0,3.187,4.779,0.5036,8.0,??????????????20??????????
600408,安泰集团,2026-06-04,3.47,0.1016,1.0,2.957,2.467,0.0941,8.0,??????????????20??????????????MACD????
603161,科华控股,2026-06-04,14.82,0.0601,0.9789,2.653,3.555,0.2234,8.0,?????????????????????????MACD?3???
600740,山西焦化,2026-06-04,4.15,0.0197,0.9834,1.887,1.59,0.1072,8.0,?????????????????20???????????MACD????
